State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,03/01/2021,4697.03,5315.92,5006.47
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,06/01/2021,4755.46,5539.64,5147.55
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,07/01/2021,4393.44,4862.91,4628.18
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,09/01/2021,4369.75,4783.65,4576.7
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,10/01/2021,4248.11,4588.0,4418.06
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,13/01/2021,4165.65,4873.71,4519.68
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,15/01/2021,4117.26,4773.71,4445.49
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,16/01/2021,4587.3,5183.61,4885.46
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,17/01/2021,3994.64,4399.36,4197.0
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,28/01/2021,4609.08,5195.79,4902.43
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,02/02/2021,4779.35,5218.39,4998.87
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,05/02/2021,4365.66,4752.98,4559.32
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,06/02/2021,4404.27,4724.72,4564.49
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,07/02/2021,4356.87,5103.52,4730.19
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,11/02/2021,4026.43,4503.22,4264.83
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,13/02/2021,4671.13,5258.73,4964.93
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,14/02/2021,4062.81,4332.51,4197.66
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,15/02/2021,4689.18,5145.08,4917.13
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,16/02/2021,4330.08,4840.69,4585.38
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,18/02/2021,4197.53,4828.99,4513.26
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,19/02/2021,4043.57,4613.39,4328.48
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,21/02/2021,4318.37,4839.89,4579.13
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,27/02/2021,4448.75,4817.36,4633.05
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,09/03/2021,4293.2,4875.18,4584.19
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,17/03/2021,4341.9,4659.94,4500.92
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,22/03/2021,4147.3,4654.33,4400.81
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,23/03/2021,4402.95,4834.19,4618.57
